"","municipio","per_ocu","count","perc"
"211","Kinchil","31 a 50 personas",1,0.00301204819277108
"212","Kinchil","6 a 10 personas",21,0.0632530120481928
"213","Kopomá","0 a 5 personas",136,0.883116883116883
"214","Kopomá","101 a 250 personas",1,0.00649350649350649
"215","Kopomá","11 a 30 personas",7,0.0454545454545455
"216","Kopomá","31 a 50 personas",3,0.0194805194805195
"217","Kopomá","6 a 10 personas",7,0.0454545454545455
"218","Mama","0 a 5 personas",453,0.951680672268908
"219","Mama","101 a 250 personas",1,0.00210084033613445
"220","Mama","11 a 30 personas",9,0.0189075630252101
"221","Mama","6 a 10 personas",13,0.0273109243697479
"222","Maní","0 a 5 personas",710,0.963364993215739
"223","Maní","101 a 250 personas",1,0.00135685210312076
"224","Maní","11 a 30 personas",6,0.00814111261872456
"225","Maní","31 a 50 personas",1,0.00135685210312076
"226","Maní","6 a 10 personas",19,0.0257801899592944
"227","Maxcanú","0 a 5 personas",765,0.881336405529954
"228","Maxcanú","101 a 250 personas",3,0.00345622119815668
"229","Maxcanú","11 a 30 personas",33,0.0380184331797235
"230","Maxcanú","251 y más personas",2,0.00230414746543779
"231","Maxcanú","31 a 50 personas",10,0.0115207373271889
"232","Maxcanú","51 a 100 personas",2,0.00230414746543779
"233","Maxcanú","6 a 10 personas",53,0.0610599078341014
"234","Mayapán","0 a 5 personas",704,0.977777777777778
"235","Mayapán","101 a 250 personas",1,0.00138888888888889
"236","Mayapán","11 a 30 personas",9,0.0125
"237","Mayapán","31 a 50 personas",1,0.00138888888888889
"238","Mayapán","6 a 10 personas",5,0.00694444444444444
"239","Mérida","0 a 5 personas",43294,0.797311233885819
"240","Mérida","101 a 250 personas",352,0.00648250460405157
"241","Mérida","11 a 30 personas",3792,0.0698342541436464
"242","Mérida","251 y más personas",166,0.00305709023941068
"243","Mérida","31 a 50 personas",733,0.0134990791896869
"244","Mérida","51 a 100 personas",481,0.00885819521178637
"245","Mérida","6 a 10 personas",5482,0.100957642725599
"246","Mocochá","0 a 5 personas",99,0.9
"247","Mocochá","11 a 30 personas",3,0.0272727272727273
"248","Mocochá","6 a 10 personas",8,0.0727272727272727
"249","Motul","0 a 5 personas",1718,0.899476439790576
"250","Motul","101 a 250 personas",1,0.000523560209424084
"251","Motul","11 a 30 personas",65,0.0340314136125654
"252","Motul","251 y más personas",2,0.00104712041884817
"253","Motul","31 a 50 personas",12,0.00628272251308901
"254","Motul","51 a 100 personas",6,0.0031413612565445
"255","Motul","6 a 10 personas",106,0.0554973821989529
"256","Muna","0 a 5 personas",915,0.943298969072165
"257","Muna","101 a 250 personas",2,0.00206185567010309
"258","Muna","11 a 30 personas",19,0.0195876288659794
"259","Muna","31 a 50 personas",2,0.00206185567010309
"260","Muna","51 a 100 personas",3,0.00309278350515464
"261","Muna","6 a 10 personas",29,0.0298969072164948
"262","Muxupip","0 a 5 personas",134,0.91156462585034
"263","Muxupip","11 a 30 personas",7,0.0476190476190476
"264","Muxupip","6 a 10 personas",6,0.0408163265306122
"265","Opichén","0 a 5 personas",200,0.938967136150235
"266","Opichén","101 a 250 personas",1,0.00469483568075117
"267","Opichén","11 a 30 personas",5,0.0234741784037559
"268","Opichén","31 a 50 personas",1,0.00469483568075117
"269","Opichén","51 a 100 personas",1,0.00469483568075117
"270","Opichén","6 a 10 personas",5,0.0234741784037559
"271","Oxkutzcab","0 a 5 personas",1983,0.91214351425943
"272","Oxkutzcab","101 a 250 personas",1,0.000459981600735971
"273","Oxkutzcab","11 a 30 personas",54,0.0248390064397424
"274","Oxkutzcab","251 y más personas",1,0.000459981600735971
"275","Oxkutzcab","31 a 50 personas",10,0.00459981600735971
"276","Oxkutzcab","51 a 100 personas",7,0.00321987120515179
"277","Oxkutzcab","6 a 10 personas",118,0.0542778288868445
"278","Panabá","0 a 5 personas",360,0.923076923076923
"279","Panabá","11 a 30 personas",10,0.0256410256410256
"280","Panabá","31 a 50 personas",3,0.00769230769230769
"281","Panabá","6 a 10 personas",17,0.0435897435897436
"282","Peto","0 a 5 personas",1621,0.931074095347501
"283","Peto","101 a 250 personas",3,0.00172314761631246
"284","Peto","11 a 30 personas",37,0.0212521539345204
"285","Peto","251 y más personas",1,0.000574382538770821
"286","Peto","31 a 50 personas",6,0.00344629523262493
"287","Peto","51 a 100 personas",7,0.00402067777139575
"288","Peto","6 a 10 personas",66,0.0379092475588742
"289","Progreso","0 a 5 personas",3010,0.803309314117961
"290","Progreso","101 a 250 personas",14,0.00373632239124633
"291","Progreso","11 a 30 personas",268,0.0715238857752869
"292","Progreso","251 y más personas",2,0.000533760341606619
"293","Progreso","31 a 50 personas",47,0.0125433680277555
"294","Progreso","51 a 100 personas",27,0.00720576461168935
"295","Progreso","6 a 10 personas",379,0.101147584734454
"296","Quintana Roo","0 a 5 personas",104,0.912280701754386
"297","Quintana Roo","11 a 30 personas",4,0.0350877192982456
"298","Quintana Roo","31 a 50 personas",1,0.0087719298245614
"299","Quintana Roo","6 a 10 personas",5,0.043859649122807
"300","Río Lagartos","0 a 5 personas",195,0.833333333333333
"301","Río Lagartos","101 a 250 personas",2,0.00854700854700855
"302","Río Lagartos","11 a 30 personas",10,0.0427350427350427
"303","Río Lagartos","251 y más personas",1,0.00427350427350427
"304","Río Lagartos","31 a 50 personas",1,0.00427350427350427
"305","Río Lagartos","51 a 100 personas",2,0.00854700854700855
"306","Río Lagartos","6 a 10 personas",23,0.0982905982905983
"307","Sacalum","0 a 5 personas",255,0.913978494623656
"308","Sacalum","101 a 250 personas",1,0.003584229390681
"309","Sacalum","11 a 30 personas",10,0.03584229390681
"310","Sacalum","31 a 50 personas",1,0.003584229390681
"311","Sacalum","6 a 10 personas",12,0.043010752688172
"312","Samahil","0 a 5 personas",210,0.882352941176471
"313","Samahil","101 a 250 personas",1,0.00420168067226891
"314","Samahil","11 a 30 personas",12,0.0504201680672269
"315","Samahil","6 a 10 personas",15,0.0630252100840336
"316","San Felipe","0 a 5 personas",111,0.787234042553192
"317","San Felipe","101 a 250 personas",2,0.0141843971631206
"318","San Felipe","11 a 30 personas",6,0.0425531914893617
"319","San Felipe","31 a 50 personas",1,0.00709219858156028
"320","San Felipe","51 a 100 personas",4,0.0283687943262411
"321","San Felipe","6 a 10 personas",17,0.120567375886525
"322","Sanahcat","0 a 5 personas",69,0.8625
"323","Sanahcat","11 a 30 personas",5,0.0625
"324","Sanahcat","251 y más personas",1,0.0125
"325","Sanahcat","6 a 10 personas",5,0.0625
"326","Santa Elena","0 a 5 personas",248,0.882562277580071
"327","Santa Elena","101 a 250 personas",1,0.00355871886120996
"328","Santa Elena","11 a 30 personas",14,0.0498220640569395
"329","Santa Elena","31 a 50 personas",4,0.0142348754448399
"330","Santa Elena","51 a 100 personas",1,0.00355871886120996
"331","Santa Elena","6 a 10 personas",13,0.0462633451957295
"332","Seyé","0 a 5 personas",307,0.882183908045977
"333","Seyé","101 a 250 personas",1,0.0028735632183908
"334","Seyé","11 a 30 personas",16,0.0459770114942529
"335","Seyé","31 a 50 personas",2,0.00574712643678161
"336","Seyé","6 a 10 personas",22,0.0632183908045977
"337","Sinanché","0 a 5 personas",144,0.9
"338","Sinanché","101 a 250 personas",1,0.00625
"339","Sinanché","11 a 30 personas",7,0.04375
"340","Sinanché","31 a 50 personas",1,0.00625
"341","Sinanché","6 a 10 personas",7,0.04375
"342","Sotuta","0 a 5 personas",459,0.940573770491803
"343","Sotuta","11 a 30 personas",9,0.0184426229508197
"344","Sotuta","251 y más personas",1,0.00204918032786885
"345","Sotuta","31 a 50 personas",1,0.00204918032786885
"346","Sotuta","51 a 100 personas",1,0.00204918032786885
"347","Sotuta","6 a 10 personas",17,0.0348360655737705
"348","Sucilá","0 a 5 personas",231,0.924
"349","Sucilá","101 a 250 personas",1,0.004
"350","Sucilá","11 a 30 personas",9,0.036
"351","Sucilá","6 a 10 personas",9,0.036
"352","Sudzal","0 a 5 personas",69,0.841463414634146
"353","Sudzal","11 a 30 personas",6,0.0731707317073171
"354","Sudzal","6 a 10 personas",7,0.0853658536585366
"355","Suma","0 a 5 personas",110,0.964912280701754
"356","Suma","11 a 30 personas",3,0.0263157894736842
"357","Suma","6 a 10 personas",1,0.0087719298245614
"358","Tahdziú","0 a 5 personas",922,0.972573839662447
"359","Tahdziú","11 a 30 personas",9,0.00949367088607595
"360","Tahdziú","251 y más personas",1,0.00105485232067511
"361","Tahdziú","31 a 50 personas",4,0.00421940928270042
"362","Tahdziú","6 a 10 personas",12,0.0126582278481013
"363","Tahmek","0 a 5 personas",148,0.836158192090395
"364","Tahmek","11 a 30 personas",10,0.0564971751412429
"365","Tahmek","31 a 50 personas",10,0.0564971751412429
"366","Tahmek","6 a 10 personas",9,0.0508474576271186
"367","Teabo","0 a 5 personas",1228,0.968454258675079
"368","Teabo","11 a 30 personas",15,0.0118296529968454
"369","Teabo","251 y más personas",1,0.000788643533123028
"370","Teabo","31 a 50 personas",4,0.00315457413249211
"371","Teabo","6 a 10 personas",20,0.0157728706624606
"372","Tecoh","0 a 5 personas",391,0.898850574712644
"373","Tecoh","101 a 250 personas",4,0.00919540229885057
"374","Tecoh","11 a 30 personas",17,0.0390804597701149
"375","Tecoh","251 y más personas",1,0.00229885057471264
"376","Tecoh","31 a 50 personas",2,0.00459770114942529
"377","Tecoh","51 a 100 personas",1,0.00229885057471264
"378","Tecoh","6 a 10 personas",19,0.0436781609195402
"379","Tekal de Venegas","0 a 5 personas",222,0.936708860759494
"380","Tekal de Venegas","11 a 30 personas",7,0.029535864978903
"381","Tekal de Venegas","31 a 50 personas",3,0.0126582278481013
"382","Tekal de Venegas","6 a 10 personas",5,0.0210970464135021
"383","Tekantó","0 a 5 personas",243,0.938223938223938
"384","Tekantó","11 a 30 personas",7,0.027027027027027
"385","Tekantó","6 a 10 personas",9,0.0347490347490347
"386","Tekax","0 a 5 personas",2721,0.934409340659341
"387","Tekax","101 a 250 personas",3,0.00103021978021978
"388","Tekax","11 a 30 personas",64,0.021978021978022
"389","Tekax","251 y más personas",2,0.000686813186813187
"390","Tekax","31 a 50 personas",13,0.00446428571428571
"391","Tekax","51 a 100 personas",8,0.00274725274725275
"392","Tekax","6 a 10 personas",101,0.0346840659340659
"393","Tekit","0 a 5 personas",1473,0.917185554171856
"394","Tekit","11 a 30 personas",42,0.0261519302615193
"395","Tekit","31 a 50 personas",6,0.0037359900373599
"396","Tekit","6 a 10 personas",85,0.0529265255292653
"397","Tekom","0 a 5 personas",300,0.967741935483871
"398","Tekom","101 a 250 personas",1,0.0032258064516129
"399","Tekom","11 a 30 personas",3,0.00967741935483871
"400","Tekom","6 a 10 personas",6,0.0193548387096774
"401","Telchac Pueblo","0 a 5 personas",201,0.889380530973451
"402","Telchac Pueblo","11 a 30 personas",7,0.0309734513274336
"403","Telchac Pueblo","6 a 10 personas",18,0.079646017699115
"404","Telchac Puerto","0 a 5 personas",228,0.890625
"405","Telchac Puerto","101 a 250 personas",1,0.00390625
"406","Telchac Puerto","11 a 30 personas",12,0.046875
"407","Telchac Puerto","31 a 50 personas",3,0.01171875
"408","Telchac Puerto","51 a 100 personas",3,0.01171875
"409","Telchac Puerto","6 a 10 personas",9,0.03515625
"410","Temax","0 a 5 personas",344,0.902887139107612
"411","Temax","101 a 250 personas",1,0.0026246719160105
"412","Temax","11 a 30 personas",12,0.031496062992126
"413","Temax","31 a 50 personas",3,0.0078740157480315
"414","Temax","6 a 10 personas",21,0.0551181102362205
"415","Temozón","0 a 5 personas",1490,0.962532299741602
"416","Temozón","11 a 30 personas",16,0.0103359173126615
"417","Temozón","31 a 50 personas",5,0.00322997416020672
"418","Temozón","51 a 100 personas",1,0.000645994832041344
"419","Temozón","6 a 10 personas",36,0.0232558139534884
"420","Tepakán","0 a 5 personas",173,0.955801104972376
"421","Tepakán","11 a 30 personas",4,0.0220994475138122
"422","Tepakán","251 y más personas",1,0.00552486187845304
"423","Tepakán","6 a 10 personas",3,0.0165745856353591
"424","Tetiz","0 a 5 personas",232,0.91699604743083
"425","Tetiz","11 a 30 personas",8,0.0316205533596838
"426","Tetiz","6 a 10 personas",13,0.0513833992094862
"427","Teya","0 a 5 personas",126,0.940298507462687
"428","Teya","101 a 250 personas",1,0.00746268656716418
"429","Teya","11 a 30 personas",3,0.0223880597014925
"430","Teya","6 a 10 personas",4,0.0298507462686567
"431","Ticul","0 a 5 personas",2772,0.889602053915276
"432","Ticul","101 a 250 personas",5,0.00160462130937099
"433","Ticul","11 a 30 personas",97,0.0311296534017972
"434","Ticul","251 y más personas",1,0.000320924261874198
"435","Ticul","31 a 50 personas",12,0.00385109114249037
"436","Ticul","51 a 100 personas",12,0.00385109114249037
"437","Ticul","6 a 10 personas",217,0.0696405648267009
"438","Timucuy","0 a 5 personas",113,0.91869918699187
"439","Timucuy","31 a 50 personas",1,0.00813008130081301
"440","Timucuy","6 a 10 personas",9,0.0731707317073171
"441","Tinum","0 a 5 personas",947,0.94228855721393
"442","Tinum","11 a 30 personas",18,0.017910447761194
"443","Tinum","31 a 50 personas",5,0.00497512437810945
"444","Tinum","51 a 100 personas",1,0.00099502487562189
"445","Tinum","6 a 10 personas",34,0.0338308457711443
"446","Tixcacalcupul","0 a 5 personas",411,0.978571428571429
"447","Tixcacalcupul","11 a 30 personas",4,0.00952380952380952
"448","Tixcacalcupul","251 y más personas",1,0.00238095238095238
"449","Tixcacalcupul","31 a 50 personas",1,0.00238095238095238
"450","Tixcacalcupul","6 a 10 personas",3,0.00714285714285714
"451","Tixkokob","0 a 5 personas",694,0.885204081632653
"452","Tixkokob","11 a 30 personas",26,0.0331632653061225
"453","Tixkokob","251 y más personas",1,0.00127551020408163
"454","Tixkokob","31 a 50 personas",6,0.0076530612244898
"455","Tixkokob","6 a 10 personas",57,0.0727040816326531
"456","Tixmehuac","0 a 5 personas",403,0.95952380952381
"457","Tixmehuac","11 a 30 personas",8,0.019047619047619
"458","Tixmehuac","6 a 10 personas",9,0.0214285714285714
"459","Tixpéhual","0 a 5 personas",184,0.9064039408867
"460","Tixpéhual","101 a 250 personas",1,0.00492610837438424
"461","Tixpéhual","11 a 30 personas",5,0.0246305418719212
"462","Tixpéhual","31 a 50 personas",1,0.00492610837438424
"463","Tixpéhual","6 a 10 personas",12,0.0591133004926108
"464","Tizimín","0 a 5 personas",3559,0.899191510864073
"465","Tizimín","101 a 250 personas",6,0.00151591712986357
"466","Tizimín","11 a 30 personas",128,0.0323395654370894
"467","Tizimín","251 y más personas",2,0.000505305709954523
"468","Tizimín","31 a 50 personas",23,0.00581101566447701
"469","Tizimín","51 a 100 personas",18,0.0045477513895907
"470","Tizimín","6 a 10 personas",222,0.056088933804952
"471","Tunkás","0 a 5 personas",223,0.948936170212766
"472","Tunkás","11 a 30 personas",4,0.0170212765957447
"473","Tunkás","6 a 10 personas",8,0.0340425531914894
"474","Tzucacab","0 a 5 personas",1058,0.948028673835125
"475","Tzucacab","11 a 30 personas",22,0.0197132616487455
"476","Tzucacab","31 a 50 personas",1,0.000896057347670251
"477","Tzucacab","51 a 100 personas",2,0.0017921146953405
"478","Tzucacab","6 a 10 personas",33,0.0295698924731183
"479","Uayma","0 a 5 personas",327,0.961764705882353
"480","Uayma","11 a 30 personas",7,0.0205882352941176
"481","Uayma","51 a 100 personas",1,0.00294117647058824
"482","Uayma","6 a 10 personas",5,0.0147058823529412
"483","Ucú","0 a 5 personas",111,0.847328244274809
"484","Ucú","11 a 30 personas",8,0.0610687022900763
"485","Ucú","6 a 10 personas",12,0.0916030534351145
"486","Umán","0 a 5 personas",2142,0.821634062140391
"487","Umán","101 a 250 personas",19,0.00728807057920982
"488","Umán","11 a 30 personas",139,0.0533179900268508
