"","denue_2021_merida$nombre_act"
"30237","Comercio al por mayor de artículos de papelería"
"30259","Comercio al por mayor de embutidos"
"30269","Comercio al por mayor de desechos de papel y de cartón"
"30270","Comercio al por mayor de maquinaria y equipo para la construcción y la minería"
"30350","Comercio al por mayor de desechos de vidrio"
"30394","Comercio al por mayor de cigarros, puros y tabaco"
"30653","Comercio al por mayor de combustibles de uso industrial"
"30905","Comercio al por mayor de otros productos textiles"
"30977","Comercio al por mayor de calzado"
"31033","Comercio al por mayor de discos y casetes"
"31116","Comercio al por mayor de libros"
"31143","Comercio al por mayor de revistas y periódicos"
"31179","Intermediación de comercio al por mayor de productos para la industria, el comercio y los servicios, excepto a través de Internet y de otros medios electrónicos"
"31258","Comercio al por mayor de vidrios y espejos"
"31579","Comercio al por mayor de vinos y licores"
"32289","Comercio al por mayor de cueros y pieles"
"32419","Comercio al por mayor de blancos"
"32731","Intermediación de comercio al por mayor exclusivamente a través de Internet y otros medios electrónicos"
"33246","Comercio al por menor de artículos y aparatos deportivos"
"33247","Comercio al por menor de cerveza"
"33248","Comercio al por menor de bebidas no alcohólicas y hielo"
"33249","Comercio al por menor de ropa, excepto de bebé y lencería"
"33253","Comercio al por menor de lentes"
"33254","Comercio al por menor en tiendas de artesanías"
"33255","Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones"
"33256","Comercio al por menor de otros artículos de uso personal"
"33257","Comercio al por menor de gasolina y diesel"
"33258","Comercio al por menor de juguetes"
"33262","Comercio al por menor en supermercados"
"33263","Comercio al por menor de electrodomésticos menores y aparatos de línea blanca"
"33266","Comercio al por menor de discos y casetes"
"33269","Comercio al por menor en tiendas departamentales"
"33270","Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas"
"33273","Comercio al por menor de carnes rojas"
"33274","Comercio al por menor de calzado"
"33275","Comercio al por menor de vidrios y espejos"
"33276","Comercio al por menor en minisupers"
"33285","Comercio al por menor de otros alimentos"
"33299","Comercio al por menor de artículos desechables"
"33362","Comercio al por menor de regalos"
"33363","Comercio al por menor de automóviles y camionetas nuevos"
"33372","Comercio al por menor de frutas y verduras frescas"
"33717","Comercio al por menor de leche, otros productos lácteos y embutidos"
"33983","Comercio al por menor de dulces y materias primas para repostería"
"33995","Comercio al por menor de artículos para la limpieza"
"34043","Comercio al por menor de carne de aves"
"34129","Comercio al por menor de artículos de papelería"
"34161","Comercio al por menor de cristalería, loza y utensilios de cocina"
"34162","Comercio al por menor de productos naturistas, medicamentos homeopáticos y de complementos alimenticios"
"34163","Comercio al por menor de mascotas"
"34166","Comercio al por menor de bisutería y accesorios de vestir"
"34167","Comercio al por menor de plantas y flores naturales"
"34168","Comercio al por menor de gas L. P. en cilindros y para tanques estacionarios"
"34189","Comercio al por menor de teléfonos y otros aparatos de comunicación"
"34226","Comercio al por menor de artículos ortopédicos"
"34244","Comercio al por menor de bicicletas"
"34246","Comercio al por menor de artículos de perfumería y cosméticos"
"34255","Comercio al por menor de aceites y grasas lubricantes, aditivos y similares para vehículos de motor"
"34277","Comercio al por menor en ferreterías y tlapalerías"
"34278","Comercio al por menor de motocicletas"
"34285","Comercio al por menor de artículos de joyería y relojes"
"34294","Comercio al por menor de telas"
"34303","Comercio al por menor de alfombras, cortinas, tapices y similares"
"34304","Comercio al por menor de muebles para el hogar"
"34384","Comercio al por menor de disfraces, vestimenta regional y vestidos de novia"
"34391","Comercio al por menor de pintura"
"34394","Comercio al por menor exclusivamente a través de Internet, y catálogos impresos, televisión y similares"
"34405","Comercio al por menor de mobiliario, equipo y accesorios de cómputo"
"34423","Comercio al por menor de automóviles y camionetas usados"
"34471","Comercio al por menor de vinos y licores"
