"","id","clee","nom_estab","raz_social","codigo_act","nombre_act","per_ocu","tipo_vial","nom_vial","tipo_v_e_1","nom_v_e_1","tipo_v_e_2","nom_v_e_2","tipo_v_e_3","nom_v_e_3","numero_ext","letra_ext","edificio","edificio_e","numero_int","letra_int","tipo_asent","nomb_asent","tipoCenCom","nom_CenCom","num_local","cod_postal","cve_ent","entidad","cve_mun","municipio","cve_loc","localidad","ageb","manzana","telefono","correoelec","www","tipoUniEco","latitud","longitud","fecha_alta"
"2769",6989207,"31080315222006451000000000U4","ARMADO DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CERRADA","20","CALLE","18","CALLE","22","CALLE","35",NA,"SN","",NA,NA,"","SECTOR","SAN RAFAEL","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","012A",3,"","","","Fijo",20.53056439,-89.33047277,"2019-11"
"2770",4556645,"31080315222003091000000000U1","ARMADO DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","35","CALLE","16","CALLE","22","CALLE","31",NA,"SN","",NA,NA,"","SECTOR","SAN RAFAEL","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","012A",3,"9971168530","","","Fijo",20.52706967,-89.32925969,"2014-12"
"2771",6989209,"31080315222006461000000000U3","ARMADO DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CERRADA","20","CALLE","18","CALLE","22","CALLE","35",NA,"SN","",NA,NA,"","SECTOR","SAN RAFAEL","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","012A",3,"","","","Fijo",20.5304922,-89.33042302,"2019-11"
"2772",4556646,"31080315225001041010000000U1","ARMADO DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","35","CALLE","16","CALLE","22","CALLE","31",NA,"SN","",NA,NA,"","SECTOR","SAN RAFAEL","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","012A",3,"","","","Fijo",20.52707257,-89.32943946,"2014-12"
"2773",4571623,"31049314991000551000000000U3","ARMADO DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","29","CALLE","20","CALLE","18","CALLE","31",0,"SN","",NA,0,"","PUEBLO","MAYAPAN","","","",97908,31,"YUCATÁN       ",49,"Mayapán",1,"Mayapán","30",1,"","","","Fijo",20.46534326,-89.21412576,"2010-07"
"2774",4571622,"31049315222000091000000000U9","ARMADO DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","29","CALLE","20","CALLE","18","CALLE","31",0,"SN","",NA,0,"","PUEBLO","MAYAPAN","","","",97908,31,"YUCATÁN       ",49,"Mayapán",1,"Mayapán","30",1,"","","","Fijo",20.46538199,-89.21425572,"2010-07"
"2775",4571605,"31049314992001861010000000U3","ARMADO DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","27","CALLE","20A","CALLE","18","CALLE","29",0,"SN","",NA,0,"","PUEBLO","MAYAPAN","","","",97908,31,"YUCATÁN       ",49,"Mayapán",1,"Mayapán","30",9,"","","","Fijo",20.46574462,-89.21381996,"2010-07"
"2776",6989210,"31080315222006471000000000U2","ARMADO DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","31","CERRADA","20","CALLE","18","CALLE","35",NA,"SN","",NA,NA,"","SECTOR","SAN RAFAEL","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","012A",3,"","","","Fijo",20.53053714,-89.32976349,"2019-11"
"2777",4556657,"31080315222003521000000000U7","ARMADO DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","14","CALLE","33","CALLE","18-A","CALLE","SIN REFERENCIA",NA,"SN","",NA,NA,"","SECTOR","SAN RAFAEL","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","012A",22,"","","","Fijo",20.52888658,-89.32681175,"2014-12"
"2778",6989264,"31080315222006571000000000U9","ARMADO DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","35","CALLE","16","CALLE","22","CALLE","31",NA,"SN","",NA,NA,"","SECTOR","SAN RAFAEL","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","012A",3,"9971246078","","","Fijo",20.5270883,-89.33041474,"2019-11"
"2779",4556659,"31080315222002921000000000U0","ARMADO DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","18A","CALLE","14","CALLE","28","CALLE","SIN REFERENCIA",NA,"SN","",NA,NA,"","SECTOR","SAN RAFAEL","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","012A",22,"","","","Fijo",20.52890765,-89.32620758,"2014-12"
